Order_ID,Order_Date,Product,Category,Region,Quantity,Unit_Price,Sales
ORD028,2025-02-08,Keyboard,Accessories,Chennai,3.0,2979.26,8937.78
ORD029,2025-04-03,Keyboard,Accessories,Coimbatore,1.0,952.13,952.13
ORD030,2025-04-19,Monitor,Electronics,Hyderabad,3.0,12386.71,37160.13
ORD031,2025-03-01,Webcam,Accessories,Hyderabad,7.0,6117.19,42820.329999999994
ORD032,2025-03-24,Laptop,Electronics,Coimbatore,2.0,27984.644999999997,55969.28999999999
ORD033,2025-02-11,Mouse,Accessories,Chennai,2.0,584.06,1168.12
ORD034,2025-03-01,Keyboard,Accessories,Coimbatore,5.0,3244.03,16220.150000000001
ORD035,2025-02-01,Keyboard,Accessories,Coimbatore,2.0,3413.69,6827.38
ORD036,2025-03-30,Headphones,Accessories,Bengaluru,4.0,3581.62,14326.48
ORD037,2025-01-16,Laptop,Electronics,Hyderabad,1.0,27984.644999999997,27984.644999999997
ORD038,2025-04-08,Monitor,Electronics,Hyderabad,2.0,15425.09,30850.18
ORD039,2025-01-03,Mouse,Accessories,Coimbatore,1.0,2198.89,2198.89
ORD040,2025-02-07,Keyboard,Accessories,Coimbatore,4.0,1909.86,7639.44
ORD041,2025-03-17,Laptop,Electronics,Chennai,3.0,27984.644999999997,83953.935
ORD042,2025-01-22,Monitor,Electronics,Hyderabad,3.0,9873.9,29621.699999999997
ORD043,2025-03-23,Headphones,Accessories,Chennai,2.0,1965.98,3931.96
ORD044,2025-02-05,Headphones,Accessories,Madurai,3.0,2104.14,6312.42
ORD045,2025-03-15,Webcam,Accessories,Hyderabad,3.0,3950.59,11851.77
ORD046,2025-02-20,Headphones,Accessories,Hyderabad,1.0,6280.36,6280.36
ORD047,2025-02-03,Keyboard,Accessories,Hyderabad,4.0,931.64,3726.56
ORD048,2025-01-20,Monitor,Electronics,Hyderabad,3.0,27984.644999999997,83953.935
ORD049,2025-04-25,Mouse,Accessories,Bengaluru,3.0,960.65,2881.95
ORD050,2025-02-04,Mouse,Accessories,Chennai,3.0,1321.71,3965.13
ORD051,2025-03-07,Keyboard,Accessories,Chennai,5.0,3209.25,16046.25
ORD052,2025-03-21,Headphones,Accessories,Coimbatore,3.0,1775.45,5326.35
ORD053,2025-03-29,Laptop,Electronics,Coimbatore,2.0,27984.644999999997,55969.28999999999
ORD054,2025-03-15,Webcam,Accessories,Madurai,4.0,2467.99,9871.96
ORD055,2025-01-17,Webcam,Accessories,Hyderabad,2.0,2031.96,4063.92
ORD056,2025-02-25,Mouse,Accessories,Madurai,3.0,2142.56,6427.68
ORD057,2025-03-18,Webcam,Accessories,Bengaluru,2.0,7707.98,15415.96
ORD058,2025-04-29,Mouse,Accessories,Madurai,3.0,937.53,2812.59
ORD059,2025-02-05,Headphones,Accessories,Hyderabad,1.0,1438.03,1438.03
ORD060,2025-01-11,Webcam,Accessories,Coimbatore,5.0,7328.4,36642.0
ORD061,2025-01-14,Webcam,Accessories,Hyderabad,5.0,7339.37,36696.85
ORD062,2025-02-10,Keyboard,Accessories,Coimbatore,2.0,2861.63,5723.26
ORD063,2025-03-30,Keyboard,Accessories,Coimbatore,2.0,964.51,1929.02
ORD064,2025-04-24,Keyboard,Accessories,Bengaluru,2.0,3323.08,6646.16
ORD065,2025-04-18,Laptop,Electronics,Chennai,1.0,27984.644999999997,27984.644999999997
ORD066,2025-03-28,Monitor,Electronics,Madurai,1.0,21587.04,21587.04
ORD067,2025-04-30,Laptop,Electronics,Coimbatore,1.0,27984.644999999997,27984.644999999997
ORD068,2025-02-22,Headphones,Accessories,Chennai,5.0,3853.93,19269.649999999998
ORD069,2025-02-03,Webcam,Accessories,Chennai,3.0,3223.87,9671.61
ORD070,2025-02-05,Laptop,Electronics,Hyderabad,4.0,27984.644999999997,111938.57999999999
ORD071,2025-02-20,Webcam,Accessories,Chennai,4.0,5402.92,21611.68
ORD072,2025-01-11,Webcam,Accessories,Coimbatore,5.0,6235.52,31177.600000000002
ORD073,2025-03-10,Monitor,Electronics,Madurai,1.0,11598.83,11598.83
ORD074,2025-01-16,Laptop,Electronics,Hyderabad,2.0,27984.644999999997,55969.28999999999
ORD075,2025-03-04,Mouse,Accessories,Bengaluru,4.0,2406.81,9627.24
ORD076,2025-03-13,Webcam,Accessories,Hyderabad,5.0,1954.13,9770.650000000001
ORD077,2025-03-28,Laptop,Electronics,Chennai,4.0,27984.644999999997,111938.57999999999
ORD078,2025-01-20,Monitor,Electronics,Hyderabad,3.0,3737.105,11211.315
ORD079,2025-02-21,Headphones,Accessories,Hyderabad,5.0,5463.11,27315.55
ORD080,2025-03-21,Mouse,Accessories,Chennai,4.0,437.46,1749.84
ORD081,2025-02-25,Headphones,Accessories,Bengaluru,5.0,5423.13,27115.65
ORD082,2025-04-22,Keyboard,Accessories,Madurai,3.0,2396.84,7190.52
ORD083,2025-01-15,Monitor,Electronics,Bengaluru,4.0,17664.0,70656.0
ORD084,2025-04-26,Webcam,Accessories,Madurai,3.0,5841.97,17525.91
ORD085,2025-02-02,Headphones,Accessories,Bengaluru,3.0,2513.55,7540.650000000001
ORD086,2025-04-26,Webcam,Accessories,Chennai,4.0,6862.73,27450.92
ORD087,2025-02-12,Webcam,Accessories,Chennai,1.0,5485.49,5485.49
ORD088,2025-04-21,Headphones,Accessories,Chennai,5.0,2844.77,14223.85
ORD089,2025-01-19,Webcam,Accessories,Bengaluru,5.0,2826.3,14131.5
ORD090,2025-03-06,Mouse,Accessories,Chennai,1.0,642.53,642.53
ORD091,2025-04-10,Monitor,Electronics,Chennai,1.0,12667.47,12667.47
ORD092,2025-04-07,Keyboard,Accessories,Bengaluru,3.0,2606.0,7818.0
ORD093,2025-03-30,Monitor,Electronics,Madurai,2.0,19595.05,39190.1
ORD094,2025-03-01,Monitor,Electronics,Chennai,5.0,9912.98,49564.899999999994
ORD095,2025-03-19,Webcam,Accessories,Hyderabad,2.0,3346.2,6692.4
ORD096,2025-01-01,Webcam,Accessories,Bengaluru,3.0,2105.38,6316.14
ORD097,2025-01-12,Webcam,Accessories,Madurai,3.0,2430.37,7291.11
ORD098,2025-03-24,Laptop,Electronics,Chennai,1.0,27984.644999999997,27984.644999999997
ORD099,2025-01-29,Webcam,Accessories,Madurai,5.0,7396.45,36982.25
ORD100,2025-03-17,Headphones,Accessories,Coimbatore,5.0,5331.23,26656.149999999998
