Order_ID,Order_Date,Product,Category,Region,Quantity,Unit_Price,Sales
ORD059,2025-02-05,Headphones,Accessories,Hyderabad,1.0,1438.03,1438.03
ORD060,2025-01-11,Webcam,Accessories,Coimbatore,5.0,7328.4,36642.0
ORD061,2025-01-14,Webcam,Accessories,Hyderabad,5.0,7339.37,36696.85
ORD062,2025-02-10,Keyboard,Accessories,Coimbatore,2.0,2861.63,5723.26
ORD063,2025-03-30,Keyboard,Accessories,Coimbatore,2.0,964.51,1929.02
ORD064,2025-04-24,Keyboard,Accessories,Bengaluru,2.0,3323.08,6646.16
ORD065,2025-04-18,Laptop,Electronics,Chennai,1.0,78244.51,78244.51
ORD066,2025-03-28,Monitor,Electronics,Madurai,1.0,21587.04,21587.04
ORD067,2025-04-30,Laptop,Electronics,Coimbatore,1.0,57412.95,57412.95
ORD068,2025-02-22,Headphones,Accessories,Chennai,5.0,3853.93,19269.65
ORD069,2025-02-03,Webcam,Accessories,Chennai,,3223.87,3223.87
ORD070,2025-02-05,Laptop,Electronics,Hyderabad,4.0,49873.3,199493.2
ORD071,2025-02-20,Webcam,Accessories,Chennai,4.0,5402.92,21611.68
ORD072,2025-01-11,Webcam,Accessories,Coimbatore,5.0,6235.52,31177.6
ORD073,2025-03-10,Monitor,Electronics,Madurai,1.0,11598.83,11598.83
ORD074,2025-01-16,Laptop,Electronics,Hyderabad,2.0,57037.95,114075.9
ORD075,2025-03-04,Mouse,Accessories,Bengaluru,4.0,2406.81,9627.24
ORD076,2025-03-13,Webcam,Accessories,Hyderabad,5.0,1954.13,9770.65
ORD077,2025-03-28,Laptop,Electronics,Chennai,4.0,49235.9,196943.6
ORD078,2025-01-20,Monitor,Electronics,Hyderabad,3.0,-500.0,87872.61
ORD079,2025-02-21,Headphones,Accessories,Hyderabad,5.0,5463.11,27315.55
ORD080,2025-03-21,Mouse,Accessories,Chennai,4.0,437.46,1749.84
ORD081,2025-02-25,Headphones,Accessories,Bengaluru,5.0,5423.13,27115.65
ORD082,2025-04-22,Keyboard,Accessories,Madurai,3.0,2396.84,7190.52
ORD083,2025-01-15,Monitor,Electronics,Bengaluru,4.0,17664.0,70656.0
ORD084,2025-04-26,Webcam,Accessories,Madurai,3.0,5841.97,17525.91
ORD085,2025-02-02,Headphones,Accessories,Bengaluru,3.0,2513.55,7540.65
ORD086,2025-04-26,Webcam,Accessories,Chennai,4.0,6862.73,27450.92
ORD087,2025-02-12,Webcam,Accessories,Chennai,1.0,5485.49,5485.49
ORD088,2025-04-21,Headphones,Accessories,Chennai,5.0,2844.77,14223.85
ORD089,2025-01-19,Webcam,Accessories,Bengaluru,5.0,2826.3,14131.5
ORD090,2025-03-06,Mouse,Accessories,Chennai,1.0,642.53,642.53
ORD091,2025-04-10,Monitor,Electronics,Chennai,1.0,12667.47,12667.47
ORD092,2025-04-07,Keyboard,Accessories,Bengaluru,3.0,2606.0,7818.0
ORD093,2025-03-30,Monitor,Electronics,Madurai,2.0,19595.05,39190.1
ORD094,2025-03-01,Monitor,Electronics,Chennai,5.0,9912.98,49564.9
ORD095,2025-03-19,Webcam,Accessories,Hyderabad,2.0,3346.2,6692.4
ORD096,2025-01-01,Webcam,Accessories,Bengaluru,3.0,2105.38,6316.14
ORD097,2025-01-12,Webcam,Accessories,Madurai,3.0,2430.37,7291.11
ORD098,2025-03-24,Laptop,Electronics,Chennai,1.0,81993.67,81993.67
ORD099,2025-01-29,Webcam,Accessories,Madurai,5.0,7396.45,36982.25
ORD100,2025-03-17,Headphones,Accessories,Coimbatore,5.0,5331.23,26656.15
ORD011,2025-02-19,Webcam,Accessories,Bengaluru,4.0,7798.56,31194.24
